seconds_from_start,x,y,z,finished
30.25,552.7024536132812,10.029558181762695,457.95245361328125,0
30.312,549.5499877929688,10.020772933959961,459.2940979003906,0
30.375,546.36474609375,10.010979652404785,460.6187744140625,0
30.437,542.6505737304688,10.013175010681152,462.2422180175781,0
30.5,539.4996337890625,10.02880859375,463.7635803222656,0
30.562,536.3980712890625,10.042864799499512,465.43096923828125,0
30.625,532.8410034179688,10.046903610229492,467.5450744628906,0
30.687,529.845458984375,10.039626121520996,469.4924011230469,0
30.75,526.9034423828125,10.02783203125,471.55975341796875,0
30.812,524.03759765625,10.019539833068848,473.76751708984375,0
30.875,520.825927734375,10.020702362060547,476.5473327636719,0
30.937,518.2107543945312,10.030110359191895,479.113525390625,0
31.0,515.7715454101562,10.04083251953125,481.81396484375,0
31.062,513.549560546875,10.04796314239502,484.6024475097656,0
31.125,511.54608154296875,10.052985191345215,487.4656982421875,0
31.187,509.4924011230469,10.054001808166504,490.8844909667969,0
31.25,507.97869873046875,10.048157691955566,493.8679504394531,0
31.312,506.5038757324219,10.03697681427002,497.3912658691406,0
31.375,505.49066162109375,10.032129287719727,500.4287109375,0
31.437,504.7095031738281,10.032227516174316,503.4673767089844,0
31.5,504.1575622558594,10.035813331604004,506.4912109375,0
31.562,503.8310852050781,10.041271209716797,509.4844970703125,0
31.625,503.72784423828125,10.045133590698242,512.9366455078125,0
31.687,503.8767395019531,10.042557716369629,515.9200439453125,0
31.75,504.2509460449219,10.040397644042969,518.9189453125,0
31.812,504.8544921875,10.040464401245117,521.9157104492188,0
31.875,505.8507385253906,10.039660453796387,525.3851928710938,0
31.937,506.95513916015625,10.038858413696289,528.3152465820312,0
32.0,508.28814697265625,10.038971900939941,531.18701171875,0
32.062,510.1264343261719,10.040178298950195,534.4405517578125,0
32.125,511.9381103515625,10.04150104522705,537.1278686523438,0
32.187,513.960205078125,10.042435646057129,539.7049560546875,0
32.25,516.184326171875,10.042634963989258,542.1566772460938,0
32.312,519.0208129882812,10.04195499420166,544.838623046875,0
32.375,521.6388549804688,10.040848731994629,546.9619140625,0
32.437,524.4153442382812,10.040061950683594,548.9092407226562,0
32.5,527.3377075195312,10.039909362792969,550.6699829101562,0
32.562,530.3869018554688,10.03918170928955,552.2479858398438,0
32.625,534.072509765625,10.034903526306152,553.8905639648438,0
32.687,537.3133544921875,10.027774810791016,555.1729736328125,0
32.75,540.6012573242188,10.017207145690918,556.4020385742188,0
32.812,543.9124755859375,10.008800506591797,557.634765625,0
32.875,547.2218627929688,10.015578269958496,558.9367065429688,0
32.937,551.046630859375,10.032449722290039,560.6177978515625,0
33.0,554.2689819335938,10.044754028320312,562.232666015625,0
33.062,557.41943359375,10.050712585449219,564.0263061523438,0
33.125,560.4796752929688,10.04936408996582,566.008544921875,0
33.187,563.9119262695312,10.042764663696289,568.5652465820312,0
33.25,566.715576171875,10.037001609802246,570.9664306640625,0
33.312,569.373779296875,10.03428840637207,573.5571899414062,0
33.375,571.8724365234375,10.03552532196045,576.3303833007812,0
